CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,3,0,0,1,2018,2,15,15,12,2,0,7,0,3,98,0,1,1,1,0,1,0,0,0,0,0,2,15,15,12,7,0,3,1,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,87,48,1,9,2,2,0,0,2,0,0,1,2018,2,4,50,12,2,0,8,0,3,3,0,1,4,3,12,3,0,0,0,0,0,2,4,50,12,8,0,3,4,3,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,87,48,1,5,3,3,0,0,3,0,1,1,2018,3,13,33,12,1,3,7,0,3,2,0,1,1,10,0,10,0,0,0,0,0,3,13,33,12,7,0,3,1,10,3,1,1,12,27.53492416
2.02E+11,1.00E+00,3,48,87,48,1,7,2,1,1,0,1,0,0,1,2018,4,13,10,14,2,0,0,0,1,1,0,2,1,10,0,10,0,0,0,0,0,4,13,10,14,0,0,1,1,10,0,0,2,12,132.1850086
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,2,0,0,1,2018,4,17,50,12,2,0,7,0,3,2,0,1,3,1,0,1,0,0,0,0,0,4,17,50,12,7,0,3,3,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,87,48,1,6,2,2,0,0,2,0,2,1,2018,4,23,30,12,2,2,6,0,2,2,0,1,3,1,0,1,0,0,0,0,0,4,23,30,12,6,0,2,3,1,2,2,2,12,68.38656772
2.02E+11,1.00E+00,3,48,87,48,1,9,2,2,0,0,2,0,0,1,2018,4,17,35,12,2,0,1,0,3,2,0,1,6,1,0,1,0,0,0,0,0,4,17,35,12,1,0,3,6,1,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,87,48,1,5,2,2,0,0,3,0,2,1,2018,5,19,22,12,1,3,1,0,3,98,0,1,3,10,0,10,0,0,0,0,0,5,19,22,12,1,0,3,3,10,3,2,1,12,27.53492416
2.02E+11,1.00E+00,3,48,87,48,1,9,1,1,0,0,1,0,0,1,2018,6,1,50,33,2,0,0,0,3,2,0,3,3,2,0,2,0,0,0,0,0,6,1,50,33,0,0,3,3,2,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,87,48,1,10,2,2,0,0,4,0,0,1,2018,6,16,30,12,2,0,6,0,2,2,0,1,1,10,0,10,0,0,0,0,0,6,16,30,12,6,0,2,1,10,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,87,48,1,5,1,1,0,0,1,0,1,1,2018,7,17,25,33,2,3,0,1,5,1,0,4,3,1,0,1,0,0,0,0,0,7,17,25,33,0,1,5,3,1,3,1,2,12,27.53492416
2.02E+11,1.00E+00,3,48,90,48,1,8,1,1,0,0,1,0,1,1,2018,1,21,26,1,2,2,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,1,21,26,1,0,0,1,3,1,2,1,2,12,159.3496284
2.02E+11,0.00E+00,3,48,90,48,1,10,2,2,0,0,2,0,0,1,2018,2,7,55,12,2,0,6,0,2,3,0,1,1,2,0,2,0,0,0,0,0,2,7,55,12,6,0,2,1,2,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,90,48,1,9,2,2,0,0,3,0,0,1,2018,2,23,23,12,2,0,6,0,2,2,0,1,3,10,0,10,0,0,0,0,0,2,23,23,12,6,0,2,3,10,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,92,48,1,6,2,2,0,0,2,0,2,1,2018,2,16,31,12,2,2,1,0,3,3,0,1,5,2,0,2,0,0,0,0,0,2,16,31,12,1,0,3,5,2,2,2,2,12,68.38656771
